,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,-0.080646165,-0.046828743,-0.15673648,1.11999238,0.3101186,-0.2309305,0.070710644,0.13351624,0.024757318
GSM2154806,-0.052472603,-0.030594015,-0.14379857,1.16196945,0.31327543,-0.21910624,0.045835663,0.06601188,0.046521813
GSM2154808,-0.09745858,0.042246073,-0.14691342,1.1553194000000002,0.25856546,-0.2138582,0.08488985,0.13343848,0.0707275
GSM2154801,-0.020602003,-0.025004128,-0.115415655,0.95582353,0.27623442,-0.21978162,0.12558241,0.122145236,0.048658103
GSM2154807,-0.06442157,-0.046231,-0.14886786,1.16407055,0.34795758,-0.21119557,0.11045482,0.09332526,0.03671238
GSM2154802,-0.09122172,-0.053195726,-0.12553279,1.00526567,0.23394804,-0.20566137,0.1027173,0.13393067,0.04520309
GSM2154805,-0.043356348,-0.022402644,-0.12792559,1.1727060299999998,0.29876366,-0.18720114,0.06641016,0.13844752,-0.020675967
GSM2154804,-0.07543137,-0.030390667,-0.15874343,1.20878993,0.28311083,-0.22502376,0.08624098,0.14243399,0.0033050973
GSM2154800,-0.0702559,-0.022074496,-0.10584611,1.102689,0.25603566,-0.25548556,0.113156736,0.0679288,0.07442508
GSM2154803,-0.07743958,-0.015928566,-0.105853595,1.08115166,0.31624416,-0.21347106,0.09815344,0.1452503,0.13229787
