"","alpha","beta","gamma","delta","acinar","ductal","endothelial","activated_stellate","quiescent_stellate"
"Sub1",0.447416802349733,0,0.000491688274257981,0,0.00947066420289166,0.393368680182821,0.111704280470595,0.0348561574097908,0.00269172710990971
"Sub2",0.71520840321524,0.0842173637173697,0,0,0,0.0348495103993605,0.115473906018031,0.0498956152592007,0.000355201390797949
"Sub3",0.456140102584561,0.0670160769548396,0,0.0190803179826641,0.0274949004015089,0.276571017047459,0.0824659081202339,0.0492193068286841,0.0220123700800495
"Sub4",0.550159749194945,0.00769250740615799,0.0373967300397409,0.00495816739941484,0.00298249447562003,0.194652910603986,0.128918395281153,0.0554356287435201,0.0178034168554614
"Sub5",0.36676689403641,0,0,0,0.00830042409361996,0.465557106948633,0.138488726484762,0,0.0208868484365751
"Sub6",0.358815916107739,0.0194672256327097,0,0,0,0.0997220947176566,0.314368379467244,0.0117935719967758,0.195832812077874
"Sub7",0.590123529949009,0.0223562095621699,0,0.00542429384906533,0.00791585468674361,0.165562356990219,0.143019342510031,0,0.0655984124527622
"Sub8",0.284877165486557,0.266782766938453,0.00656606877994898,0.0119639517508336,0.0263500891203754,0.159661461693352,0.14135944444214,0.0949339343426599,0.00750511744568073
"Sub9",0.243126357593447,0.0158279357409205,0,0,0.00875581416651547,0.456792639047131,0.144088488010085,0.00818470986622092,0.123224055575681
"Sub10",0.347293150467897,0,0,0,0.022881200084444,0.406695188771661,0.164522867668302,0.0165280360871855,0.0420795569205104
"Sub11",0.0755109774667907,0.000826420351327829,6.70491018547556e-06,0,0.141669927239048,0.529031984740503,0.159209428179893,0.0549203134354984,0.0388242436767531
"Sub12",0.340867360190296,0.00010949426555053,0.00366444277438492,0,0.0100131080201022,0.343709003249602,0.166359848479426,0.088071612302034,0.0472051307186044
"Sub13",0.283419124243014,0.043959167026261,0.0149820545088784,0.00902240581698146,0.00598428968197553,0.300294707447261,0.214423499052536,0.0301149324332562,0.0977998197898356
"Sub14",0.194496526074722,0.000585454307872666,0.00164693617557495,0,0.0223605474745949,0.627964439390897,0.0877487400392927,0.0651973565370461,0
"Sub15",0.743012529419579,0,0,0.0115153472033352,8.79594010700218e-06,0.076953011884813,0.131061685478267,0.00936559501222211,0.0280830350616765
"Sub16",0.333477794265775,0.0314653112014394,0.00346817339413754,0.00982382210920254,0.0102280050323758,0.285202488531072,0.194795404823431,0.0660754922759563,0.0654635083666105
"Sub17",0.367135022353199,0.0675398643422293,0.00147601633912568,0.0251524842319441,0.00243130622321133,0.150984574743387,0.254696715768328,0.0172308153951842,0.113353200603391
"Sub18",0.37153333969036,0.0201349992693628,0.00168524782958851,0.00956064126805959,0.0156860519426509,0.229333568395583,0.225579790456057,0.0525526048473823,0.0739337563009563
"Sub19",0.472451646109809,0.0271025832128864,0.00545227775921955,0.00759784549007927,0.0235944152387537,0.247867204273837,0.147628353542712,0.0294354722432315,0.0388702021294716
"Sub20",0.773100518565518,0.0170812032539868,0,0.0139424179179827,0,0.0378066679956361,0.127699730429003,0.030369461837873,0
"Sub21",0.310293651445627,0.496946248949273,0,0.0265055640804667,0,0.024894846509229,0.100643727030387,0.040715961985018,0
"Sub22",0.444185043193626,5.89331929633412e-05,0.000153478961991929,0,0.0185414163955224,0.284441019195611,0.147507185987541,0.104608304706114,0.000504618366629529
"Sub23",0.702144792446932,0.00294541440476422,0.0069620557845185,0.017279385498437,0.0063102149031905,0.149982499408751,0.0884798851186715,0.0103426044076578,0.0155531480270781
"Sub24",0.296925539947638,0.0358921932740284,0.00279563733929415,0.0203583382805249,0.0100302702349677,0.355721411731608,0.153118090142376,0.0424500800539714,0.0827084389955906
"Sub25",0.321313364513339,0.00174238427580542,0.00314248008693381,0.0027063415811286,0.015219027026147,0.555336096157709,0.0386282175595934,0.0619120887993443,0
"Sub26",0.424972845793453,0,0,0,0.0462420762939032,0.370476725809808,0.120302588289595,0.0215493848326993,0.0164563789805417
"Sub27",0.44316850598638,0.0049023381797817,0,0.00666408298569524,0.0475832497150156,0.269384981394374,0.157417047028143,0.0246600270645573,0.0462197676460522
"Sub28",0.746053443680628,0,0,0,0.00194047324800716,0.118391545815643,0.121215257037538,0.0085694903187104,0.00382978989947359
"Sub29",0.69674969176559,0,0.000696500198540995,0.0122016046717933,0.00561902507813291,0.0845964793609394,0.12798452677244,0,0.0721521721525638
"Sub30",0.807318090542201,0,0,0.00519164573436743,0.00176806659994542,0.0354372396164772,0.117013216980508,0.0332717405265012,0
"Sub31",0.45533370456719,0,0,0,0.0264840786832232,0.337190504876502,0.14372898206197,0,0.0372627298111145
"Sub32",0.467873577922479,0.000597215661809147,0.000318151753949941,0.00176045934264094,0.0294110548633845,0.246326482708327,0.126049826993243,0.0865510700090211,0.0411121607451454
"Sub33",0.561333255012977,0.0411320988473345,0.00037944316858181,0.00805069660948444,0.0171828782266498,0.113525946589683,0.172410332931936,0.00312537213464019,0.0828599764787135
"Sub34",0.66559063354939,0.0479923418689788,0,0.0162381264490356,0.0362694180118458,0.0538282174626742,0.141534729129479,0.00832873006265719,0.0302178034659394
"Sub35",0.209509317562259,0.0119661581127981,0.0127607541587739,0,0.0732360939017563,0.408289565440893,0.14858230354977,0.0353245508211676,0.100331256452582
"Sub36",0.492720090232339,0,0.00125162705359473,0.00943349204988891,0.165805153220126,0.242831941549821,0.0618482746283505,0.0261094212658798,0
"Sub37",0.665152267595594,0.162303335288017,0.0109205351791039,0.0119757916516687,0.00712543692477604,0.0537280951346611,0.0597989574115493,0.0207674949708638,0.00822808584376615
"Sub38",0.633674618612439,0.17339663380078,0.0154415834342793,0.0226466017141192,0.00156585674279681,0.0176883466392681,0.0701977332809982,0.0359987129706394,0.02938991280468
"Sub39",0.219357167134704,0.199352096024445,0.0386071708993137,0.0118676308776404,0.0734943363416282,0.278628777261879,0.128395556369088,0,0.0502972650913022
