,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0,0,0.0,0.863140008056216,0,0.0487472307019829,0,0.0037581063635351,0.0843546548782662
GSM2154806,0.0011433348135391,0,0.0,0.874816178020512,0,0.0477041600551552,0,0.002983985502464,0.0725815015396143
GSM2154808,0.0,0,0.0,0.954965603732968,0,0.0438417374183798,0,0.0005026782420786,0.0006899806065732
GSM2154801,0.0,0,0.0275197800570069,0.478968805786554,0,0.145727569516942,0,0.008436018094959,0.339347826544538
GSM2154807,0.0,0,0.0,0.838542897027732,0,0.0556143498744962,0,0.0035269960736248,0.102315757024147
GSM2154802,0.0,0,0.0341367425077241,0.5006695807923554,0,0.131154850970928,0,0.0143238616886138,0.292996376524655
GSM2154805,0.0,0,0.0151109914633348,0.843912148821314,0,0.0209353685196182,0,0.0032973355398398,0.116744155655893
GSM2154804,0.0,0,0.0,0.861958627572851,0,0.0431866309506101,0,0.0052064997046006,0.0896482417719379
GSM2154800,6.39212685581266e-05,0,0.0021974220885016,0.576397462479679,0,0.120749388504841,0,0.0014463605725225,0.296949527577218
GSM2154803,0.0,0,0.0729537192792808,0.4525039335681911,0,0.10890415619865,0,0.015332970803305,0.350305220150574
