	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub1	0.073764235	0.15680729	0.0486228	0.3423762	0.28147063	0.0257117	0.02152741	0.031584617	0.018135153
Sub2	0.09274414	0.27638036	0.06016024	0.14208697	0.3108068	0.032964602	0.02312806	0.047343742	0.014385081
Sub3	0.07988059	0.19030671	0.06376295	0.24344252	0.29745564	0.028575609	0.01879379	0.038032915	0.03974923
Sub4	0.10858378	0.18517184	0.04476879	0.16875903	0.3899478	0.023474088	0.032487083	0.033812087	0.0129955085
Sub5	0.07783314	0.11153396	0.037343014	0.3737463	0.29084256	0.023902034	0.025934158	0.026412174	0.032452643
Sub6	0.085541934	0.18746577	0.058147278	0.08134407	0.47350255	0.040662274	0.013888586	0.05127712	0.008170399
Sub7	0.07996481	0.20476325	0.038090903	0.13873303	0.44482267	0.0255822	0.015497808	0.036951378	0.01559396
Sub8	0.06553439	0.20555604	0.04688419	0.11355207	0.46695933	0.026089424	0.0132795675	0.04549815	0.016646842
Sub9	0.096429825	0.1191318	0.05368023	0.3133243	0.31553808	0.027102718	0.019353664	0.030427054	0.025012352
Sub10	0.08963751	0.09739787	0.045461025	0.2992959	0.34211817	0.035172675	0.018181771	0.048497424	0.024237594
Sub11	0.053032193	0.13994211	0.11205401	0.34228325	0.1586103	0.044008266	0.019861517	0.05109477	0.07911353
Sub12	0.076000504	0.17747629	0.100159444	0.27183262	0.22383225	0.0398827	0.022278557	0.053810094	0.034727454
Sub13	0.077533215	0.15841	0.053565543	0.2312582	0.3688283	0.0287221	0.02298995	0.043801934	0.0148908505
Sub14	0.061152954	0.090560175	0.0656616	0.41749573	0.22285807	0.031019548	0.023882171	0.037111204	0.050258506
Sub15	0.122024596	0.18776804	0.051189397	0.1797158	0.32852837	0.04065174	0.027788982	0.041112956	0.021220192
Sub16	0.067520045	0.15993148	0.05123587	0.18320322	0.4392515	0.025703045	0.014911115	0.04390355	0.014340169
Sub17	0.089639366	0.16302	0.05673197	0.14705008	0.4218277	0.037437066	0.019006774	0.050662857	0.014624209
Sub18	0.058682133	0.18404752	0.05579095	0.18491882	0.40678516	0.027530259	0.013907048	0.054637328	0.013700758
Sub19	0.071142636	0.16666442	0.050179962	0.22570713	0.3723571	0.027437294	0.018960563	0.043720663	0.023830255
Sub20	0.1155776	0.21789551	0.04500938	0.12653843	0.38586617	0.033067584	0.021586196	0.044506844	0.009952323
Sub21	0.10208381	0.15971445	0.041158374	0.12323084	0.4823487	0.03022723	0.015388117	0.03724711	0.008601394
Sub22	0.083904505	0.12849541	0.08328507	0.255619	0.32158193	0.03773779	0.021254934	0.04654497	0.021576433
Sub23	0.08938473	0.2072581	0.038104434	0.24021477	0.31904706	0.024059812	0.025383687	0.030041492	0.026505893
Sub24	0.07593906	0.124057114	0.051140007	0.2592815	0.38853934	0.026079511	0.016093818	0.043072056	0.015797561
Sub25	0.061770994	0.13144346	0.048000965	0.38060817	0.26267585	0.025480961	0.02205317	0.033211675	0.034754794
Sub26	0.09430883	0.10903885	0.057263736	0.26336172	0.31806013	0.03966418	0.024347791	0.037169304	0.056785535
Sub27	0.07689348	0.19084267	0.050426554	0.22718687	0.34004787	0.027332162	0.015931806	0.043412384	0.027926216
Sub28	0.09937946	0.15640227	0.04758175	0.22932498	0.34981978	0.03402555	0.025299253	0.032263834	0.025903106
Sub29	0.10060587	0.20943052	0.044552077	0.16235821	0.38694993	0.026037842	0.022467338	0.033454757	0.014143423
Sub30	0.10699451	0.25532815	0.037273835	0.11426178	0.37124935	0.033879504	0.023068113	0.040924434	0.017020337
Sub31	0.107778914	0.15418762	0.050842773	0.21503067	0.3333448	0.03421439	0.019973658	0.0496283	0.03499889
Sub32	0.086042315	0.19280301	0.11967202	0.24036677	0.19822536	0.050634254	0.023431353	0.05202748	0.036797483
Sub33	0.05977939	0.2098537	0.042134877	0.12229661	0.45773673	0.029300397	0.018391328	0.042131305	0.01837566
Sub34	0.102912515	0.24577339	0.046127286	0.10814949	0.37625957	0.027473852	0.017325427	0.049381483	0.026596991
Sub35	0.050654575	0.16333318	0.06630951	0.2494841	0.36053634	0.027228693	0.018811403	0.03362845	0.030013828
Sub36	0.08463412	0.1375239	0.04646274	0.31356013	0.26932776	0.029309249	0.023326041	0.034069944	0.06178611
Sub37	0.10674554	0.24877512	0.0463853	0.15480591	0.32564548	0.031661093	0.027539542	0.03617084	0.022271171
Sub38	0.09232669	0.245465	0.03461489	0.06335918	0.48368123	0.022820175	0.016474964	0.031681538	0.009576338
Sub39	0.09208866	0.14318262	0.021626374	0.19146575	0.4649254	0.01474321	0.017658176	0.02879507	0.025514714
Sub40	0.06947353	0.13761349	0.10055343	0.2746612	0.1706173	0.03953108	0.024347575	0.04940735	0.13379507
Sub41	0.08602174	0.22197704	0.050210565	0.24293672	0.29036584	0.029240524	0.01832668	0.03302766	0.027893217
Sub42	0.081441574	0.21182136	0.072540686	0.29340148	0.21517064	0.032563493	0.02062992	0.040331896	0.032098915
Sub43	0.11381114	0.2373492	0.053146005	0.18327314	0.2833278	0.033322964	0.027291058	0.037854422	0.030624345
Sub44	0.09887609	0.1879401	0.058523	0.23754144	0.30438897	0.027116448	0.02087102	0.03763376	0.027109215
Sub45	0.110672094	0.2755464	0.033395704	0.11253139	0.36544278	0.024090366	0.023923678	0.03881437	0.015583201
