	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
10101327	0.45613155	0.056540452	0.15925589	0.17903803	0.0	0.014519204	0.069928475	0.06458632
10101589	0.47405416	0.028602997	0.12676793	0.16448301	0.0	0.037894484	0.072642654	0.09555475
10202345	0.4611438	0.040882546	0.1626155	0.18240725	0.005795105	0.0061677154	0.07083987	0.07014817
10203224	0.4045353	0.106028475	0.181457	0.16678432	0.0	0.0048417174	0.07220684	0.0641464
10205244	0.46811697	0.030151445	0.14820138	0.20642804	0.0	0.014563373	0.057657704	0.074881144
10208143	0.44804892	0.07047728	0.16883585	0.18045096	0.0	0.008251268	0.066647746	0.05728801
10218339	0.44766346	0.04298455	0.15385728	0.19330023	0.0	0.015801469	0.0776237	0.068769395
10222853	0.42967734	0.05599188	0.15767534	0.19410065	0.0	0.017292405	0.07766602	0.0675964
10246987	0.3931212	0.12902503	0.18913996	0.14033608	0.0	0.0	0.082099386	0.0662783
10248033	0.4553197	0.05174823	0.15049455	0.16585378	0.0	0.027279144	0.08173599	0.06756857
10249336	0.44207773	0.048392102	0.15155688	0.18994412	0.0	0.019358378	0.069711044	0.078959756
10253148	0.49643984	0.01656574	0.14260907	0.1389809	0.020675097	0.016044615	0.08142641	0.087258354
10260309	0.45793104	0.02982622	0.13302298	0.17675613	0.0	0.034046028	0.08226044	0.08615714
10262905	0.43001345	0.05651993	0.16000967	0.19647925	0.0	0.013859229	0.074717954	0.06840058
10271474	0.44365612	0.04854988	0.15940188	0.19702941	0.0	0.01372797	0.07457447	0.06306026
10277308	0.46871978	0.029093975	0.15008734	0.19176014	0.0	0.018458214	0.070896514	0.07098398
10288185	0.4625503	0.036432866	0.14753047	0.1774055	0.0	0.02299027	0.08008632	0.07300421
10290427	0.46787232	0.024394501	0.15552914	0.19762138	0.0	0.00028382445	0.07608928	0.078209534
10291856	0.45553398	0.0	0.11527239	0.2147305	0.0	0.033417832	0.07972787	0.10131733
10292311	0.444105	0.050050236	0.15065949	0.18928976	0.0	0.020772826	0.075900815	0.06922186
10300914	0.472564	0.008115376	0.12554842	0.19480336	0.0	0.03706031	0.07490415	0.087004356
10315029	0.47242478	0.0	0.1314377	0.21666305	0.0	0.025287708	0.06782579	0.08636102
10345561	0.48768124	0.042989776	0.14646213	0.13461626	0.0	0.018112177	0.08356547	0.08657295
10383017	0.44080508	0.05780545	0.15735824	0.17066446	0.0	0.015056736	0.080855004	0.07745505
10394182	0.4530928	0.047105078	0.15722093	0.19055294	0.0	0.015001293	0.06846557	0.06856142
10395197	0.48007312	0.03694309	0.15442741	0.17465332	0.0	0.0120218685	0.06982674	0.072054364
10405008	0.48015302	0.023082167	0.14116845	0.17862932	0.0	0.015693653	0.07261698	0.08865642
10424475	0.48754835	0.007818225	0.14034036	0.1856351	0.004358183	0.012020182	0.07588149	0.08639817
10433070	0.4809534	0.045490142	0.15472329	0.15262513	0.0	0.010091891	0.07583733	0.080278955
10435090	0.45582482	0.056784343	0.1523613	0.16338384	0.0	0.029775167	0.078752466	0.063117966
10436131	0.44777688	0.060448866	0.15747808	0.18568148	0.0	0.02197769	0.072192356	0.05444462
10447620	0.48132774	0.03881663	0.15227579	0.15607433	0.0	0.00925191	0.08469658	0.07755704
