	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub1	0.13426518	0.13793413	0.14148852	0.20881663	0.2573	0.009926509	0.086446114	0.0	0.02382293
Sub2	0.14737156	0.15354873	0.1420824	0.17251593	0.26605573	0.010494753	0.089481376	0.0	0.01844954
Sub3	0.13876007	0.14198121	0.14151323	0.18922593	0.25586736	0.016311115	0.08470635	0.0	0.031634703
Sub4	0.14643717	0.1464493	0.14044651	0.1772862	0.27148202	0.0047402172	0.09597848	0.0	0.017180007
Sub5	0.13171686	0.13226254	0.1352657	0.2168981	0.25652128	0.009940105	0.08612969	0.0	0.031265818
Sub6	0.15235089	0.14330585	0.14586894	0.15311365	0.28029737	0.015191497	0.09022109	0.0040331515	0.015617671
Sub7	0.14529826	0.14686684	0.13913521	0.17540835	0.2745799	0.00914436	0.087513626	0.0	0.022053363
Sub8	0.14515816	0.14588097	0.14235681	0.16485679	0.2731992	0.014209644	0.08917492	0.0005989032	0.024564605
Sub9	0.13716856	0.13476913	0.14170724	0.20148878	0.25679448	0.014210878	0.08597722	0.0	0.027883735
Sub10	0.138538	0.13114621	0.13854529	0.19736417	0.26122516	0.017934468	0.08530941	0.0	0.029937236
Sub11	0.13003512	0.13073273	0.14568332	0.20703466	0.23661605	0.028089339	0.08149346	0.0	0.040315297
Sub12	0.13775542	0.1364358	0.14680783	0.19468339	0.24827294	0.02152054	0.08559229	0.0	0.028931782
Sub13	0.14003447	0.13857396	0.14296676	0.19243185	0.26073888	0.013555548	0.089113034	0.0	0.022585468
Sub14	0.12747708	0.12689726	0.14108488	0.21929406	0.24461544	0.019039042	0.08423774	0.0	0.037354514
Sub15	0.14864135	0.1460975	0.13827	0.17544112	0.26581147	0.013937929	0.08900599	0.0	0.022794593
Sub16	0.14256682	0.13942558	0.14326963	0.18350309	0.26911163	0.012082574	0.0868809	0.0	0.023159815
Sub17	0.14813584	0.14029989	0.14236899	0.17212355	0.26824686	0.015636718	0.09113194	0.0	0.02205621
Sub18	0.1401892	0.14112563	0.14470232	0.18508436	0.2663298	0.013053144	0.08676673	0.0	0.022748841
Sub19	0.14029302	0.14042744	0.14051846	0.18486767	0.2644387	0.014442751	0.086918585	0.0	0.028093342
Sub20	0.1514517	0.14932083	0.14162144	0.17171346	0.27245587	0.00823102	0.09052916	0.0	0.014676471
Sub21	0.14907327	0.14445436	0.14298306	0.16979216	0.28100273	0.008610012	0.08820691	0.0	0.015877489
Sub22	0.13856429	0.13487987	0.14740714	0.19460812	0.25747922	0.016014306	0.086003095	0.0	0.025043922
Sub23	0.13970236	0.14670533	0.13614394	0.19129997	0.26134357	0.0082337195	0.08904695	0.0	0.02752417
Sub24	0.1397401	0.135189	0.1443152	0.19464414	0.26229113	0.013448717	0.08582694	0.0	0.02454479
Sub25	0.13053955	0.1350103	0.13981709	0.20836963	0.25150537	0.014958385	0.08597788	0.0	0.033821758
Sub26	0.13820672	0.13109872	0.13677257	0.1915716	0.25618863	0.02249067	0.08569808	0.0	0.037972942
Sub27	0.14081112	0.14231478	0.14094667	0.18548365	0.2616977	0.0151560735	0.085507214	0.0	0.0280828
Sub28	0.14162539	0.14101553	0.13837568	0.19131139	0.2652675	0.011397692	0.0856201	0.0	0.02538658
Sub29	0.14797902	0.14631328	0.1409829	0.1791675	0.26966038	0.0086428365	0.08771123	0.0	0.019542877
Sub30	0.14956534	0.15439935	0.13500842	0.16477552	0.2736701	0.010238189	0.09139463	0.0	0.020948434
Sub31	0.14500539	0.13991386	0.13749132	0.17793491	0.2631181	0.018583288	0.08691796	0.0	0.031035192
Sub32	0.14026701	0.1391968	0.14730008	0.18675163	0.24333547	0.026924774	0.085321076	0.0	0.03090317
Sub33	0.14488427	0.1470247	0.13893455	0.16809702	0.27612153	0.010809834	0.091436505	0.0	0.022691568
Sub34	0.15091108	0.14955732	0.13871557	0.1636145	0.26840252	0.014118429	0.08796429	0.0	0.02671636
Sub35	0.13495784	0.1379989	0.14437576	0.19535244	0.25843993	0.014456846	0.08513461	0.0	0.029283745
Sub36	0.13431518	0.13519356	0.13583653	0.20187362	0.25002676	0.01859303	0.0843991	0.0	0.039762247
Sub37	0.14709629	0.15387629	0.13620672	0.17491132	0.26571116	0.009495003	0.08953867	0.0	0.023164619
