	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub1	0.20437731	0.19515672	0.024797227	0.02467535	0.042886477	0.22185895	0.28624794
Sub2	0.21289429	0.22251421	0.03341286	0.037924424	0.050018597	0.19453096	0.24870472
Sub3	0.20304513	0.20104702	0.02882103	0.024410395	0.046512336	0.2285258	0.26763818
Sub4	0.21905781	0.20905808	0.03262878	0.045729246	0.044152997	0.19710867	0.25226438
Sub5	0.20358096	0.18647514	0.024073558	0.02165111	0.037840556	0.22962618	0.2967526
Sub6	0.22917856	0.20810267	0.035726555	0.037846074	0.06405218	0.18232591	0.24276814
Sub7	0.22028072	0.2156939	0.030410103	0.033055093	0.04721861	0.19802977	0.25531167
Sub8	0.22352426	0.21414617	0.028905813	0.031442564	0.054294594	0.2024553	0.24523126
Sub9	0.20601797	0.19361861	0.024315823	0.021668136	0.042116903	0.22387825	0.28838432
Sub10	0.20975061	0.1913705	0.030988546	0.023433644	0.05205815	0.21645264	0.2759459
Sub11	0.18735898	0.18202738	0.019514581	0.016243767	0.046533763	0.25931087	0.28901058
Sub12	0.19732685	0.19815846	0.023243902	0.021446843	0.049331203	0.22907443	0.2814183
Sub13	0.21221332	0.19879013	0.026461538	0.026817221	0.050216816	0.21346237	0.27203867
Sub14	0.19066374	0.17771879	0.022705268	0.019468626	0.041763883	0.25169063	0.295989
Sub15	0.21537596	0.20871626	0.038035892	0.039180346	0.046501942	0.19906636	0.25312328
Sub16	0.21816064	0.20413396	0.02677189	0.027616307	0.050580036	0.20867455	0.26406255
Sub17	0.21715172	0.20165886	0.034637798	0.033368737	0.05782903	0.200151	0.2552028
Sub18	0.21506396	0.20698035	0.023919469	0.025407504	0.05120222	0.21121773	0.2662088
Sub19	0.21071425	0.20329177	0.026670264	0.02677354	0.048948154	0.215994	0.26760805
Sub20	0.22079173	0.21584536	0.03948509	0.040175233	0.051048797	0.18593436	0.24671938
Sub21	0.22848797	0.21050225	0.037306152	0.03731382	0.05260324	0.18842527	0.24536122
Sub22	0.20852886	0.19846421	0.025028294	0.024654008	0.046913654	0.22181697	0.27459395
Sub23	0.20357813	0.20239896	0.0337899	0.033332057	0.03863495	0.22459207	0.26367393
Sub24	0.2148093	0.19684975	0.02450846	0.021985961	0.047235854	0.21707323	0.27753747
Sub25	0.19528186	0.18894245	0.02211514	0.020555137	0.039307807	0.24545345	0.28834412
Sub26	0.2071146	0.18732272	0.030085297	0.026842508	0.04643693	0.22838299	0.2738151
Sub27	0.21037216	0.20244369	0.02716921	0.027062371	0.04843647	0.2185937	0.26592237
Sub28	0.21356714	0.20256831	0.028937386	0.030414622	0.041595172	0.2118859	0.27103135
Sub29	0.22064675	0.20954809	0.032254707	0.03422927	0.046918657	0.19688599	0.2595164
Sub30	0.21846056	0.21759515	0.040147323	0.045136742	0.051636405	0.18982838	0.23719537
Sub31	0.2103295	0.20066696	0.033092584	0.03046979	0.052803297	0.21293516	0.25970268
