	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub1	0.13228919	0.12917261	0.094872355	0.36859268	0.13953118	0.03427088	0.014575155	0.08669599	0.0
Sub2	0.1548822	0.20663814	0.108348615	0.21015614	0.17019044	0.04020577	0.016042678	0.093536064	0.0
Sub3	0.14217159	0.15000333	0.11264443	0.28120446	0.14907986	0.037272524	0.009654912	0.08544579	0.03252304
Sub4	0.16148677	0.16605483	0.09383733	0.2383361	0.18680811	0.03244371	0.036190722	0.08484239	0.0
Sub5	0.13944548	0.09716435	0.06687182	0.40246102	0.14424309	0.031446565	0.01800177	0.07732583	0.02304
Sub6	0.16297764	0.1772744	0.11446871	0.15530129	0.22386853	0.05068183	0.011269127	0.10415843	0.0
Sub7	0.15278406	0.18164805	0.08676456	0.23214607	0.20921062	0.035216633	0.006976697	0.09246314	0.0027901616
Sub8	0.14784823	0.18236138	0.103977546	0.19180077	0.21059953	0.037016727	0.008005309	0.103192545	0.015198006
Sub9	0.14558464	0.116192415	0.101184905	0.34329465	0.14556797	0.035420917	0.014441568	0.083296776	0.015016097
Sub10	0.14475064	0.10941443	0.08621022	0.3228779	0.16298786	0.04184346	0.007543766	0.104168564	0.020203212
Sub11	0.11409206	0.10041537	0.14668542	0.34955293	0.08849517	0.044434674	0.0071457927	0.0988137	0.05036484
Sub12	0.13070793	0.13384704	0.1376773	0.30711967	0.11860392	0.04074663	0.011423376	0.104757555	0.015116542
Sub13	0.13709517	0.14235125	0.1032975	0.30473465	0.15517624	0.036649518	0.017305996	0.10338966	0.0
Sub14	0.11674212	0.08040401	0.10995375	0.39984557	0.11024844	0.038895853	0.015277951	0.08721708	0.04141524
Sub15	0.17122808	0.16776146	0.09588882	0.23039603	0.178645	0.046196993	0.018899841	0.082881674	0.008102063
Sub16	0.14208815	0.15441038	0.1016991	0.26906705	0.18835539	0.032344837	0.0041684774	0.104566336	0.003300327
Sub17	0.15939915	0.15560237	0.10619432	0.22505204	0.1854148	0.042634796	0.018941982	0.10202444	0.004736022
Sub18	0.13091111	0.16229875	0.107405104	0.2725071	0.17730588	0.032473337	0.0034709917	0.113627724	0.0
Sub19	0.13912083	0.1509461	0.09872921	0.27019277	0.17617244	0.034519117	0.0099916505	0.099960625	0.020367244
Sub20	0.17092519	0.18725452	0.09751488	0.20755133	0.18881674	0.040161926	0.01564398	0.09213139	0.0
Sub21	0.16385701	0.17171982	0.097158335	0.20920679	0.22049612	0.03900968	0.006129579	0.09242266	0.0
Sub22	0.13449277	0.1256517	0.12991767	0.30767888	0.14530079	0.037767645	0.011168258	0.099234164	0.008788192
Sub23	0.15335351	0.16381125	0.08384379	0.2869326	0.16192077	0.030320032	0.020233624	0.07826057	0.021323912
Sub24	0.14127186	0.128575	0.10553257	0.3131629	0.16396827	0.032084927	0.007001461	0.10252677	0.0058762245
Sub25	0.12457975	0.11247913	0.099441774	0.36011535	0.13090654	0.033024743	0.017411793	0.08748769	0.034553193
Sub26	0.14835532	0.10203697	0.094529234	0.29690042	0.15612832	0.051450472	0.017816348	0.077946045	0.054836832
Sub27	0.1436259	0.15854323	0.10141763	0.27170253	0.16626522	0.035293274	0.0057623372	0.09797021	0.019419745
Sub28	0.15494716	0.14334026	0.09032236	0.29506382	0.17631917	0.039697766	0.011306041	0.07755234	0.011451011
Sub29	0.16383418	0.17614119	0.09422963	0.24599385	0.18774734	0.035066694	0.010801592	0.08618553	0.0
Sub30	0.16593938	0.20252292	0.08589282	0.18549621	0.20260312	0.045049433	0.021064479	0.08548298	0.0059487037
Sub31	0.15938355	0.14593124	0.08934795	0.24476501	0.17618625	0.041952547	0.011537911	0.09579897	0.035096545
Sub32	0.13829337	0.14545612	0.15173826	0.27172056	0.106821604	0.05191427	0.015898429	0.09396251	0.024194924
Sub33	0.1446757	0.18230794	0.09386106	0.20691787	0.21420908	0.0372895	0.016049182	0.09532813	0.009361463
Sub34	0.1710822	0.18734953	0.09705055	0.17991297	0.1937004	0.036614638	0.010950923	0.09803745	0.02530138
Sub35	0.12474492	0.13683233	0.11846673	0.31058052	0.15466326	0.034395717	0.010506197	0.08962409	0.020186236
Sub36	0.14473951	0.112592265	0.09003221	0.32822165	0.13437892	0.03977343	0.013753687	0.07776545	0.058742918
Sub37	0.1652324	0.1978947	0.0899879	0.22379263	0.17845993	0.039995696	0.020645186	0.07529515	0.008696338
Sub38	0.17141037	0.20743889	0.09214008	0.14964473	0.24070098	0.03524565	0.016226063	0.08719319	0.0
Sub39	0.16172601	0.13983938	0.057168987	0.2613882	0.2161017	0.02521335	0.016328312	0.08510625	0.037127864
Sub40	0.1274767	0.098024875	0.13019268	0.3134709	0.104036815	0.042479288	0.015743926	0.09254184	0.07603305
Sub41	0.14954446	0.16456996	0.094571725	0.29713756	0.15110576	0.03711344	0.00955023	0.08339513	0.013011684
Sub42	0.14094503	0.15225191	0.11686293	0.31648192	0.11940905	0.03965142	0.00788747	0.090780765	0.015729537
Sub43	0.16533028	0.18157224	0.09731211	0.23764494	0.1593948	0.041509993	0.019267872	0.0811461	0.016821755
Sub44	0.1532581	0.15288992	0.10606186	0.28422812	0.15501072	0.03206472	0.013288968	0.08952477	0.013672835
Sub45	0.17583945	0.20964	0.083023496	0.1958612	0.19064844	0.033320095	0.022710145	0.08895708	0.0
Sub46	0.14310095	0.14611746	0.091725364	0.2526327	0.16738419	0.038490996	0.013646938	0.087511264	0.05939012
Sub47	0.14593528	0.14045972	0.09581954	0.2493044	0.16834128	0.03708884	0.013775695	0.10160877	0.047666553
Sub48	0.15685377	0.1818186	0.09179976	0.24296245	0.19258857	0.029355913	0.013502318	0.08002524	0.0110934265
Sub49	0.16329938	0.19565395	0.07779211	0.24621975	0.1976437	0.033379503	0.016607797	0.06940386	0.0
Sub50	0.15892988	0.15618834	0.09344143	0.25211602	0.18031913	0.04215042	0.010891933	0.09381566	0.012147161
Sub51	0.13785924	0.15637247	0.09430435	0.31577763	0.17275351	0.027286202	0.0084373355	0.08720929	0.0
Sub52	0.1514156	0.1571682	0.048818074	0.35551882	0.17413177	0.020782422	0.0077318456	0.06677118	0.017662147
Sub53	0.12407513	0.11930061	0.12035225	0.34346786	0.10885191	0.032055862	0.014155791	0.0966709	0.041069694
Sub54	0.1379818	0.15499522	0.102373384	0.25838688	0.16998424	0.036614023	0.009730734	0.09333775	0.036595874
Sub55	0.13379759	0.10847774	0.081694335	0.38833353	0.13099153	0.029854715	0.008305257	0.08213774	0.036407627
Sub56	0.11958523	0.10045518	0.120703086	0.3859557	0.0921389	0.041161142	0.012641281	0.08968159	0.0376778
Sub57	0.1554054	0.14966437	0.1114063	0.25402611	0.16972688	0.042443227	0.021590732	0.08368657	0.012050468
Sub58	0.13801005	0.16933483	0.06557256	0.3206011	0.19152658	0.023186883	0.0032148974	0.088553056	0.0
Sub59	0.13644585	0.120235465	0.08879387	0.32654116	0.15643096	0.03331258	0.013653338	0.09338359	0.03120323
Sub60	0.12938078	0.11322631	0.09607252	0.3998996	0.12138729	0.027231071	0.0045195967	0.08603934	0.022243515
Sub61	0.13689531	0.12693381	0.091731265	0.2988262	0.14108862	0.03439639	0.009938603	0.08902376	0.071165964
Sub62	0.17113796	0.21002336	0.09861619	0.16196987	0.19355987	0.050726015	0.025782173	0.08818462	0.0
Sub63	0.18258639	0.18194443	0.10030924	0.17142637	0.2014962	0.048148815	0.01776673	0.085906446	0.010415434
Sub64	0.15477279	0.17351426	0.10076397	0.17907056	0.2049065	0.04179144	0.024664812	0.088702574	0.03181312
Sub65	0.12897848	0.15361218	0.11877319	0.330047	0.10863794	0.035260133	0.020497728	0.10419327	0.0
