,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.04211356,0.0706829,0.060189277,0.232316495,0.06968569,0.06773009,0.039712284,0.0931935,0.09790479
GSM2154806,0.04422321,0.070474006,0.059149344,0.22986,0.06808172,0.07083073,0.04015529,0.09357781,0.0971368
GSM2154808,0.047048584,0.070222914,0.05933478,0.231318055,0.06527397,0.06921767,0.041311,0.09304112,0.09304937
GSM2154801,0.060823917,0.06878546,0.06433127,0.20151860500000002,0.06528844,0.06721777,0.047506347,0.09445359,0.088252075
GSM2154807,0.046227526,0.070339434,0.062164757,0.22718601500000002,0.06852077,0.0681713,0.042136844,0.09442295,0.095295854
GSM2154802,0.05846227,0.06903622,0.061606463,0.20921127499999997,0.06289466,0.06911674,0.045582805,0.09211294,0.09302441
GSM2154805,0.04068877,0.07044143,0.05877507,0.23702765999999997,0.06912653,0.06843147,0.038330942,0.093143925,0.0945749
GSM2154804,0.04134555,0.07011196,0.056043595,0.23749408500000002,0.06762521,0.06903488,0.03830049,0.09166062,0.09754137
GSM2154800,0.059103355,0.06833655,0.060780723,0.2094835,0.06277664,0.0681177,0.046983402,0.0920106,0.08990505
GSM2154803,0.053513043,0.0691147,0.067422524,0.20597055000000003,0.0678442,0.067972146,0.045316868,0.096964754,0.093379565
