,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.060954828,0.08972952,0.09188138,0.22024506,0.11371895,0.05095326,0.031565398,0.10031522,0.16156638
GSM2154806,0.06460507,0.09982881,0.0895344,0.20141889,0.114778,0.054184917,0.030408837,0.103940114,0.15886375
GSM2154808,0.06831055,0.10611976,0.08968696,0.21387841,0.10079493,0.05101417,0.033926405,0.10197621,0.14649184
GSM2154801,0.070414506,0.07690019,0.101699784,0.13181172,0.11676804,0.048159905,0.043169055,0.10431616,0.14950399
GSM2154807,0.06390799,0.094325975,0.093681,0.20489031,0.11020926,0.049980626,0.034327596,0.103364475,0.15592922
GSM2154802,0.07229411,0.08363882,0.09692179,0.15563813,0.1109363,0.05136158,0.037374597,0.097811684,0.15266396
GSM2154805,0.062034585,0.09292754,0.08728341,0.23640677,0.11082417,0.04952138,0.031602375,0.10148941,0.1529473
GSM2154804,0.06308833,0.09092512,0.085607305,0.23090515,0.11425838,0.05046633,0.029342817,0.10018414,0.15689495
GSM2154800,0.07184734,0.0776052,0.09660572,0.15874773,0.112179644,0.04929471,0.041289072,0.103249714,0.14822932
GSM2154803,0.06728099,0.0797293,0.112764135,0.13573061,0.116494134,0.050335072,0.03375907,0.10337644,0.16661094
