	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub1	0.19690107	0.17290965	0.020246524	0.068876	0.0504662	0.15953204	0.33106855
Sub2	0.22355162	0.2963035	0.059864886	0.08915669	0.0672413	0.09942565	0.1644563
Sub3	0.18945241	0.20101812	0.03903611	0.05801506	0.0691528	0.21160601	0.23171945
Sub4	0.27164224	0.21546061	0.050543364	0.15120621	0.034904838	0.10797654	0.16826627
Sub5	0.19134101	0.1402034	0.017561851	0.059194196	0.029196592	0.17644063	0.38606226
Sub6	0.32296994	0.18683933	0.08056923	0.084505215	0.1121659	0.076359324	0.13659105
Sub7	0.2662352	0.26989362	0.055759758	0.07231602	0.048267525	0.1070429	0.1804849
Sub8	0.29805517	0.23426214	0.04945227	0.07742022	0.07588576	0.13701577	0.12790863
Sub9	0.20398597	0.1682897	0.020692578	0.056850363	0.0461609	0.16371343	0.34030703
Sub10	0.22163595	0.14321594	0.05044411	0.05163176	0.084360644	0.1580839	0.29062772
Sub11	0.11376515	0.11523945	0.00030698391	0.05210617	0.10171915	0.31767163	0.29919147
Sub12	0.1537087	0.19190039	0.019378126	0.0668043	0.089609556	0.19095309	0.28764588
Sub13	0.23085977	0.18319002	0.036676604	0.077939555	0.07362207	0.14488058	0.25283134
Sub14	0.13964374	0.099970534	0.0031118153	0.059619803	0.06553985	0.27323484	0.35887942
Sub15	0.25267544	0.2243478	0.07427238	0.085841365	0.05131035	0.118271396	0.19328126
Sub16	0.26960054	0.20220701	0.036357537	0.06769727	0.067455955	0.13759562	0.21908607
Sub17	0.26108104	0.17760295	0.0701969	0.084515825	0.10314847	0.12104658	0.18240821
Sub18	0.24451928	0.22553559	0.025056504	0.063341625	0.07483787	0.14453039	0.22217868
Sub19	0.22414371	0.20718579	0.033731215	0.06759903	0.06892795	0.16299485	0.2354175
Sub20	0.27643195	0.24631916	0.09378526	0.08636958	0.06284258	0.07478978	0.15946175
Sub21	0.333719	0.2118395	0.08108794	0.07090908	0.061307006	0.09072356	0.1504139
Sub22	0.2179222	0.1861353	0.020920802	0.06032107	0.06757004	0.1802026	0.26692793
Sub23	0.19920382	0.20999502	0.05361066	0.08961236	0.033209756	0.20003983	0.21432853
