Mixture	Astrocytes	Oligo	Excitatory	Microglia	OPC	Inhibitory	Endothelial
A-10315	0.115980272189195	0.207404598825434	0.120246305867957	0.221841804801033	0.272235678760621	0.0	0.062291339555761
A-11068	0.178363569308272	0.106711019382318	0.220193829761734	0.188390799739832	0.219411439615541	0.0	0.0869293421923037
A-15235	0.13793878423135	0.221711404943034	0.172621507017276	0.253747169974875	0.185587937270391	0.0	0.0283931965630732
A-26659	0.194501493831315	0.104617175707305	0.250907032525522	0.140675353064069	0.209985460433896	0.0	0.0993134844378937
A-26670	0.157580713822718	0.117351642792362	0.199627303535321	0.289419180224132	0.164032577157488	0.0	0.0719885824679783
A-26693	0.230829482868841	0.0877161281326956	0.186961351751409	0.218596391278826	0.172190040113208	0.0094616261196017	0.0942449797354191
A-28156	0.238184807376416	0.079990206114107	0.151525284649361	0.179837713442704	0.225980734650992	0.0	0.124481253766419
A-28739	0.16131807160463	0.173940779477208	0.0896562937407211	0.29408093625539	0.220994145052788	0.0	0.0600097738692623
A-29008	0.174115932677992	0.114111373743611	0.148776220848235	0.325807420988828	0.18593522074065	0.0	0.051253831000683
A-29011	0.197258088965955	0.122757419894553	0.185106220517095	0.220981386102733	0.180634457292632	0.0	0.0932624272270317
A-29594	0.167088360822497	0.259535656769038	0.121793421822112	0.13726360919451	0.211909910643614	0.0	0.102409040748229
A-29845	0.0566284556942142	0.462262781418693	0.0	0.232627212913376	0.183086506092373	0.0	0.0653950438813437
A-32470	0.134893558210507	0.442851271257185	0.0188036382698563	0.201014307442586	0.128814064124105	0.0	0.0736231606957607
A-32591	0.165360155232567	0.305442171198165	0.0957505300386278	0.190706967573665	0.161525327877269	0.0	0.0812148480797065
B-04585	0.190505989157594	0.0664342501715878	0.28381232539836	0.221569925186482	0.148886140712417	0.0	0.0887913693735598
B-06239	0.167056254763182	0.140181033918527	0.213694964799107	0.260384863624789	0.141738815320895	0.0	0.0769440675734989
B-06247	0.235557514945961	0.0561762032702696	0.183921210700097	0.1775255869613	0.233667850854842	0.0	0.11315163326753
B-06260	0.177661939146778	0.0924330176201201	0.117858641259324	0.285104363345123	0.211612729068857	0.0	0.115329309559797
B-06262	0.213970993218779	0.0795528281491607	0.227372636465348	0.151979752142639	0.225224096218448	0.0	0.101899693805626
B-06263	0.177977695333284	0.240160685349983	0.0956590830660741	0.255480555364894	0.168254677856807	0.0	0.062467303028958
B-06266	0.208840233253333	0.0430904446105351	0.206857033198443	0.231597370033843	0.216841811868805	0.0227391465342009	0.070033960500841
B-06267	0.246677830193377	0.103528084863966	0.185421370105075	0.119770668977101	0.219825630209029	0.0	0.124776415651452
B-06268	0.190769250802674	0.0692162736637871	0.164785700067952	0.338174437864749	0.137258095849002	0.0	0.0997962417518355
B-06270	0.198410898460141	0.102999717491352	0.242453439110873	0.156170349941176	0.19739868890989	0.0	0.102566906086567
B-06271	0.211924013744106	0.0979634676551377	0.231437031011941	0.227702514840638	0.13723404302483	0.0	0.0937389297233474
B-06277	0.132696296587696	0.264444775247908	0.110307912325145	0.215059757849464	0.184280764212314	0.0	0.0932104937774731
B-06281	0.150433888133334	0.264979517258773	0.0412481516230438	0.237900312083766	0.199335053690444	0.0	0.106103077210639
B-06282	0.20025252948846	0.0234304404931152	0.207086101184595	0.261365829227364	0.209686287278515	0.0	0.0981788123279511
B-06421	0.179387373082848	0.0900573915772182	0.325041423861951	0.102111921742627	0.190253041603006	0.0	0.11314884813235
B-10269	0.216440229245784	0.0617749234335968	0.22800632984121	0.190187107372439	0.160543118389969	0.0081944864611572	0.134853805255845
B-10302	0.0907396280708895	0.244442083899231	0.0730656205714851	0.168394127048845	0.330168777294356	0.0	0.093189763115194
B-10991	0.192648975273472	0.0949409647750982	0.1358288283654	0.257031931991998	0.178947844522285	0.0	0.140601455071746
B-15192	0.146254886467237	0.227230233315231	0.174311621406919	0.182226094726761	0.167049127260764	0.0	0.102928036823088
B-15605	0.176929510884042	0.121727858478259	0.12293496162618	0.269535380488419	0.237079381368067	0.0	0.0717929071550327
B-16200	0.17257905049709	0.183347497502911	0.133007661835407	0.260931562663334	0.185900555575555	0.0	0.0642336719257033
B-16208	0.195808109422578	0.121107365362863	0.264500778992348	0.114654373967589	0.191216839508046	0.0	0.112712532746576
B-20044	0.186672585231144	0.189091726918345	0.11329360812503	0.241093629058124	0.189567136350785	0.0	0.0802813143165712
B-28151	0.194356619833068	0.0424787685402954	0.27239114653173	0.244037069929345	0.196146713660383	0.0	0.0505896815051789
B-28382	0.167036342922237	0.147264456424641	0.0702291907853233	0.263493709233889	0.246387607085914	0.0	0.105588693547996
B-28832	0.145039439655359	0.224577235689384	0.129204584235465	0.250093515037638	0.176288283904134	0.0	0.0747969414780202
B-28930	0.149741063115991	0.348989851775056	0.0	0.222211574252778	0.19210411523807	0.0	0.0869533956181054
B-30042	0.181266840682912	0.11584485458875	0.0704122125105612	0.344214720453967	0.210241395385029	0.0	0.078019976378781
C-03063	0.141542265491781	0.278924494364981	0.0557062688341325	0.258150085336024	0.170341256298117	0.0	0.0953356296749648
C-11112	0.13361295861871	0.397238308730459	0.0588244808201848	0.196660149028566	0.127578051023708	0.0	0.0860860517783718
C-12100	0.181927088150327	0.0910789349265773	0.217947097374644	0.165715086793929	0.219048978422416	0.0	0.124282814332107
C-12111	0.138523187215791	0.452197402861375	0.0376540267113173	0.158238393497898	0.133565355017879	0.0	0.0798216346957403
C-15086	0.189515680989416	0.362832664060242	0.04134563238802	0.201058469023057	0.13137260836901	0.0	0.0738749451702551
C-16010	0.192011893929499	0.199693319693614	0.173543565301496	0.172258682969177	0.162030846429685	0.0	0.100461691676528
C-16073	0.151865828721189	0.385276399490675	0.0710334899781353	0.199855154518296	0.120097325979747	0.0	0.071871801311958
C-16088	0.202677257511094	0.191561432264472	0.175928640320585	0.18775948530807	0.133893128486863	0.0	0.108180056108916
C-99134	0.170639232842262	0.249825593802399	0.0995588504085062	0.188743644598339	0.195048306717641	0.0	0.0961843716308529
E-02945	0.1551612992711	0.159333050972766	0.065592293119525	0.301741062932561	0.218281305274769	0.0	0.0998909884292781
E-02951	0.165457419138098	0.282125268033604	0.0	0.248385296091818	0.175994039168955	0.0	0.128037977567525
E-10317	0.195919384324478	0.0	0.253652453902508	0.258043135298633	0.209521823080875	0.0	0.0828632033935069
E-10608	0.18042390217187	0.190731776309173	0.151675445584917	0.220594670101036	0.138018326019788	0.0	0.118555879813216
E-11050	0.113052382239803	0.243550623460797	0.0666486051450359	0.254730342436259	0.209576245012657	0.0	0.112441801705448
E-11051	0.161228710495679	0.0804365957293187	0.266019575496255	0.164550448502949	0.242861589052865	0.0	0.0849030807229339
E-11053	0.192892905744194	0.196764397729548	0.171220822451567	0.187853765406572	0.194219092164485	0.0	0.0570490165036334
E-19639	0.198900611125171	0.022501907364853	0.355693515864764	0.128839796146308	0.195132719592627	0.0	0.098931449906277
E-19663	0.173444932572007	0.226901277996512	0.0516069552465422	0.220997768480057	0.264981399735541	0.0	0.0620676659693417
E-24635	0.150865120793935	0.185790209175176	0.129732327718865	0.208023549022595	0.237870264307597	0.0	0.0877185289818323
F-10242	0.182455417356524	0.161680589198169	0.0399580395148027	0.281785925703635	0.206460567493583	0.0059920945692283	0.121667366164058
F-15611	0.191067209909692	0.101562850272922	0.206183057032892	0.172948161758869	0.236227590260117	0.0	0.0920111307655074
F-15621	0.169074244512225	0.116071438933232	0.182569285827621	0.2401895765167	0.224330784881658	0.0	0.0677646693285624
F-15626	0.175652754458432	0.223201327805934	0.121591776020387	0.177597717601682	0.241810008847451	0.0	0.0601464152661139
F-15669	0.211166889290642	0.114977226219536	0.12972103942623	0.234574851687948	0.228272527871927	0.0	0.0812874655037171
F-16253	0.199693725711294	0.128382338478368	0.0702618431731113	0.27143863552421	0.231155836397593	0.0	0.0990676207154245
F-16307	0.153784335885186	0.11572141592311	0.16606106855985	0.257993323006347	0.218272758424849	0.0	0.0881670982006573
F-16317	0.0979128569895095	0.381529967508568	0.0	0.163294315740225	0.241617450581083	0.0	0.115645409180614
F-21801	0.136274143199016	0.273362828605053	0.0573277248686038	0.240806910719533	0.24362719904249	0.0	0.0486011935653049
F-30139	0.170499913093526	0.145304847088973	0.13188729296781	0.262753570373372	0.171702383706347	0.0	0.117851992769972
F-30886	0.148698530434171	0.267407587983139	0.0345133747080134	0.219089248063435	0.238510653694263	0.0	0.0917806051169782
F-32590	0.169978154372878	0.0915282402178026	0.184915884849684	0.269706055137874	0.195689704112651	0.0	0.0881819613091105
G-10007	0.197402492163368	0.120279257726619	0.17050819806217	0.210436243202477	0.168820887263459	0.0206776922171665	0.111875229364741
G-11021	0.23655965938631	0.0587557641654953	0.199282411425281	0.194563194510774	0.180936935911142	0.0339682066584386	0.0959338279425585
G-11044	0.15660788432561	0.0778103339021749	0.40803136049648	0.104783778513311	0.18156539796066	0.0	0.0712012448017639
G-11082	0.125120241493063	0.274668886049355	0.0	0.283927389268199	0.162941292767907	0.0078169511381853	0.145525239283291
G-11090	0.190684557075745	0.0515589234853219	0.218725842199567	0.285744826738114	0.157501609227426	0.0228041514510942	0.0729800898227332
G-11114	0.180212525015959	0.146136597253485	0.104183890645079	0.216403388327776	0.230304467479575	0.0	0.122759131278125
G-12088	0.11890689573072	0.292676565619107	0.0031718008185678	0.233972531606512	0.258475573467627	0.0	0.0927966327574666
G-15087	0.189681690680137	0.256254365746665	0.0982603571053877	0.173167973476262	0.192271107541139	0.0	0.0903645054504093
H-0C046	0.20983592620916	0.169481766738972	0.0891385340581503	0.233184133612547	0.219724258044108	0.0	0.0786353813370633
H-0C048	0.191661622178422	0.0816854134939754	0.127098843997198	0.204791779925598	0.267461008619411	0.0	0.127301331785396
H-0C072	0.135984030976395	0.282874642532156	0.0248059127804929	0.204190892940991	0.281975215118693	0.0	0.0701693056512718
H-0C083	0.10836655796088	0.374140782654747	0.0	0.228070409758664	0.204749175813406	0.0	0.0846730738123034
H-0C084	0.217111030329552	0.168689236437548	0.0750015404738688	0.197071608511783	0.206680335783865	0.0	0.135446248463383
H-0C085	0.182655402380488	0.122861522508073	0.0605852879713416	0.305399090886749	0.203214311549772	0.0	0.125284384703576
H-0C096	0.181388254431854	0.277714587589441	0.0321642302171801	0.212271700747609	0.212511653628344	0.0	0.0839495733855719
H-0C730	0.197408318715906	0.272351220619036	0.0	0.231724196876928	0.183831513220753	0.0	0.114684750567377
H-DC005	0.146039346860789	0.245422403919675	0.0475250490019915	0.251821941288584	0.217547580275902	0.0	0.09164367865306
H-DC022	0.177458904423996	0.200899905685277	0.0874524443092051	0.278136810981637	0.124445357041711	0.0	0.131606577558173
H-DC023	0.228399422916698	0.153985440439674	0.16798992603496	0.138363178813104	0.169416877457889	0.0	0.141845154337674
H-DC027	0.179355481770599	0.251679587565925	0.0393652957937097	0.206457104410198	0.186431407196409	0.0	0.136711123263159
H-DC029	0.188006217017914	0.125861554943731	0.139190102755565	0.235053444266524	0.192683555797406	0.0	0.11920512521886
H-DC040	0.148012003557395	0.249853771535332	0.0227219159374883	0.245472014573962	0.244916500374229	0.0	0.0890237940215934
H-DC092	0.130172235561627	0.216645744206135	0.0	0.288548012310968	0.228483178131065	0.0	0.136150829790206
H-DC107	0.136214236686433	0.288670978041309	0.0	0.329020501944996	0.159659364804019	0.0	0.0864349185232429
H-DC110	0.190468954232994	0.18404106120709	0.0332956898532783	0.217687197874942	0.261270902117414	0.0	0.113236194714281
H-DC112	0.193631863846705	0.0815388788174172	0.240329413280236	0.188347818463926	0.200246608677441	0.0	0.095905416914275
