	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
A-10315	0.010658909500000001	0.52516496	0.15563241319999999	0.019514088800000003	0.10038754059999999	0.093631458	0.09501059659999998
A-11068	0.0078116141	0.522740618	0.173765794	0.0169566108	0.104935971	0.0948346602	0.0789547683
A-15235	0.007548542200000001	0.625474498	0.11446830999999999	0.01913183808	0.081324327	0.07200204480000001	0.0800504272
A-26659	0.007600575260000001	0.56661481	0.14721659799999998	0.01526931226	0.08911711359999999	0.11774606099999999	0.05643552704000001
A-26670	0.00622031516	0.630852658	0.1312277598	0.0140818446	0.07742693199999999	0.0772350216	0.0629554486
A-26693	0.00561750188	0.605443948	0.1523107172	0.013207840799999999	0.0839921132	0.091193999	0.04823387495999999
A-28156	0.00672821832	0.574313012	0.15606673	0.013961490200000001	0.0738256454	0.13468386940000002	0.040421059020000004
A-28739	0.01040825814	0.5435973080000001	0.158208484	0.0195127117	0.08886398459999999	0.084608619	0.0948006259
A-29008	0.0087914966	0.5722531120000001	0.14622084800000001	0.0163710252	0.0870064608	0.10401887600000001	0.06533819564000001
A-29011	0.0057068988000000005	0.588489448	0.149513482	0.01434427456	0.0912701518	0.0913925154	0.059283179799999995
A-29594	0.01088232314	0.47267607799999994	0.171311364	0.021688935799999996	0.1256517654	0.08790481459999999	0.10988470259999998
A-29845	0.01191319076	0.40221919400000006	0.20182685500000003	0.0264488124	0.1379706154	0.0629087112	0.1567125948
A-32470	0.014000805199999999	0.37933842799999995	0.21003297199999998	0.0287739794	0.1364362756	0.0621279044	0.16928964619999998
A-32591	0.006636735519999999	0.47763229800000007	0.20880442400000004	0.017466688180000002	0.1047744738	0.09010882519999999	0.0945765246
B-04585	0.00622046524	0.6440312800000001	0.13571144	0.01437525474	0.0757663154	0.0798739356	0.04402133464000001
B-06239	0.00749450388	0.63585722	0.122717999	0.014778914539999998	0.0829061276	0.0738474088	0.062397819320000006
B-06247	0.005175243899999999	0.64199713	0.137458694	0.011099390099999999	0.0695038556	0.098728116	0.03603755592
B-06260	0.00644946938	0.579685008	0.14736930799999998	0.0162213514	0.09624429300000001	0.0968634448	0.05716710922
B-06262	0.00602149428	0.48992366800000003	0.167677794	0.01664738706	0.0987804602	0.1656750488	0.055274129840000005
B-06263	0.008199843160000001	0.52562683	0.18162550800000005	0.01706112014	0.102326532	0.08135337520000001	0.08380680920000001
B-06266	0.00599171496	0.6688796379999999	0.129813969	0.0098537977	0.08292295379999999	0.07218960940000001	0.030348301379999998
B-06267	0.00586978192	0.548155796	0.1582488028	0.012266222439999998	0.09497980019999999	0.1324359484	0.0480436182
B-06268	0.005687536879999999	0.609833864	0.152957061	0.017150212739999997	0.08910590300000001	0.07788265300000001	0.04738276534000001
B-06270	0.008336340139999999	0.58956564	0.1407283728	0.01519929974	0.0917549726	0.10270236699999999	0.05171297856
B-06271	0.0091854622	0.52682288	0.17251763	0.01637286126	0.0891303216	0.11619386120000001	0.06977694068000001
B-06277	0.010402992	0.51303795	0.168703774	0.01928133046	0.10548773360000001	0.08296354619999999	0.10012267780000002
B-06281	0.0092921015	0.437151808	0.20429372399999995	0.02137789262	0.13529914199999998	0.07821408299999999	0.11437122959999999
B-06282	0.00489094258	0.529422378	0.16666532	0.0148674414	0.0982555352	0.138901962	0.046996448139999994
B-06421	0.00466404668	0.583903032	0.14053886100000001	0.01212499458	0.0791257766	0.1273515154	0.05229175828
B-10269	0.0062578092399999995	0.598583774	0.16816894219999998	0.0114206956	0.07597155679999999	0.08935118420000002	0.05024604148
B-10302	0.0101366246	0.474684196	0.19464103000000002	0.01825086088	0.1246272064	0.0733320466	0.10432800680000001
B-10991	0.011929911060000001	0.5084797400000001	0.164075024	0.0203489284	0.15067144540000002	0.07929477500000001	0.06520016780000001
B-15192	0.00766166016	0.550339386	0.16552719300000002	0.015038167180000001	0.09172145219999998	0.0937387972	0.0759733439
B-15605	0.007206352080000001	0.5655890060000001	0.16347992379999998	0.014097728300000001	0.08722727479999999	0.0942331912	0.06816650174000001
B-16200	0.00842917352	0.510447662	0.16972268399999998	0.01912171314	0.0984014984	0.11448476599999999	0.07939254000000001
B-16208	0.00720652198	0.566610182	0.155500422	0.015449085000000001	0.09347562840000001	0.09491004859999999	0.0668480839
B-20044	0.00762919626	0.48027619600000004	0.1826521836	0.0206831645	0.109851008	0.1004790624	0.098429199
B-28151	0.006425454780000001	0.646289722	0.1294192852	0.0122404283	0.0814363202	0.0931741794	0.031014590559999992
B-28382	0.008623497059999999	0.47305842	0.20264010800000004	0.02231274156	0.1112113006	0.08966869499999999	0.0924852426
B-28832	0.00607217676	0.5513911499999999	0.16042284680000002	0.01591650046	0.09596154999999999	0.089205821	0.0810299716
B-28930	0.00923177654	0.369927948	0.2311254452	0.0231545876	0.1314235988	0.1001206622	0.13501598100000003
B-30042	0.006921406299999999	0.55596694	0.157633668	0.015940875200000003	0.09867347220000001	0.0994189102	0.06544474203999999
C-03063	0.00640153158	0.5117358519999999	0.188396574	0.0159194834	0.1064882444	0.0708007306	0.1002575953
C-11112	0.011794398000000001	0.43494252	0.187755968	0.0252788491	0.1173015252	0.0873506802	0.1355760138
C-12100	0.0057806032	0.5846181699999999	0.1501248828	0.014920819200000001	0.09634162519999999	0.08909718959999999	0.059116696600000004
C-12111	0.010472584900000002	0.419842098	0.184489904	0.0240488857	0.1243605382	0.08219533799999999	0.15459065859999999
C-15086	0.009001955139999998	0.409880098	0.21355322999999998	0.02096449716	0.125486909	0.0846608186	0.1364525234
C-16010	0.00663830722	0.542724328	0.164124615	0.015245641200000002	0.09475118580000001	0.0882792682	0.08823663960000003
C-16073	0.012907048400000001	0.47253945399999997	0.16949322700000002	0.0246876468	0.1139692448	0.06973665840000001	0.13666671760000002
C-16088	0.007324864759999999	0.5572496279999999	0.153889364	0.01406959332	0.0946938276	0.0887904562	0.08398225340000001
C-99134	0.00503281208	0.489089454	0.19799759720000001	0.014187466240000002	0.1092818692	0.0847264966	0.09968433639999999
E-02945	0.007801731720000001	0.49861419200000007	0.19130652599999998	0.01561100272	0.09896993779999999	0.110621616	0.07707499109999999
E-02951	0.01083248934	0.358085134	0.22129707999999998	0.0273881842	0.1428161036	0.1019278844	0.1376531076
E-10317	0.00624727274	0.59412502	0.15503983400000002	0.015254288999999999	0.09432269439999999	0.10151755900000001	0.03349331488
E-10608	0.011815122100000002	0.463222046	0.16398986999999998	0.021448550939999998	0.11844966860000002	0.12561166999999998	0.0954630412
E-11050	0.00947923828	0.41103492599999997	0.218980364	0.02292456088	0.1362846994	0.0824859608	0.11881025240000001
E-11051	0.00686225494	0.606246608	0.1321823608	0.01165382726	0.095007548	0.096127824	0.05191958402
E-11053	0.0056225599	0.526828054	0.169730994	0.01585120106	0.09230005459999999	0.09868688079999999	0.0909802434
