	Astrocytes	Oligo	Excitatory	Microglia	OPC	Inhibitory	Endothelial
A.10315	0	0.010086840631833	0.0	0.300460527581639	0	0.171326888671785	0.518125743114743
A.11068	0	0.0142294771432274	0.0	0.303562160123709	0	0.157985474131852	0.524222888601212
A.15235	0	0.0146246003139618	0.0010059275684622	0.310552988673077	0	0.156395946131085	0.517420537313414
A.26659	0	0.0150909663074929	0.0	0.29213577685191	0	0.168762214789162	0.524011042051435
A.26670	0	0.0094138523723978	0.0	0.291356095294321	0	0.165515603278528	0.533714449054753
A.26693	0	0.0096322832435767	0.0	0.302416369839464	0	0.162731325484017	0.525220021432943
A.28156	0	0.012593756452089	0.0001271019289644	0.326683235493958	0	0.156607043710862	0.503988862414127
A.28739	0	0.0113986880299632	0.0	0.300653707093103	0	0.160401106137195	0.527546498739739
A.29008	0	0.0124742900778039	0.0	0.29377860244682	0	0.164624848809134	0.529122258666242
A.29011	0	0.0111071038496635	0.0	0.3000528180813	0	0.16551421923179	0.523325858837247
A.29594	0	0.0145083835709034	0.0	0.276027240838556	0	0.16970916341125	0.539755212179291
A.29845	0	0.019051749036437	0.0	0.297317756996385	0	0.167067983889133	0.516562510078045
A.32470	0	0.0146865799897142	0.0	0.29863610330578	0	0.162288892730912	0.524388423973594
A.32591	0	0.0176331694631233	0.0	0.292134345853807	0	0.166302241438292	0.523930243244778
B.04585	0	0.0100259774809914	0.0	0.315131190392332	0	0.163612162082936	0.511230670043741
B.06239	0	0.0202337301835249	0.0	0.296688464422983	0	0.162893256947621	0.520184548445871
B.06247	0	0.0086830122393976	0.0	0.304768614840877	0	0.160255505041366	0.526292867878359
B.06260	0	0.0111482074062888	0.0	0.294708756855019	0	0.154055082814234	0.540087952924458
B.06262	0	0.007313375492583	0.0	0.310928288333607	0	0.163241109376519	0.518517226797291
B.06263	0	0.0104463569423434	0.0	0.294321214559269	0	0.164572737939148	0.53065969055924
B.06266	0	0.0110181264203816	0.0	0.303914015349072	0	0.164956742392284	0.520111115838263
B.06267	0	0.0075245524799844	0.0	0.296325964352514	0	0.171587577808515	0.524561905358987
B.06268	0	0.0104309592081773	0.0	0.301118829170052	0	0.160690071314541	0.52776014030723
B.06270	0	0.0119053997388323	0.0	0.30665226457296	0	0.162207437600219	0.519234898087989
B.06271	0	0.0096941559455992	0.0	0.306473654717538	0	0.156876631249383	0.52695555808748
B.06277	0	0.0133748513790981	0.0	0.298480122060101	0	0.160207520369816	0.527937506190984
B.06281	0	0.015914247865027	0.0	0.299455798319611	0	0.158822408468195	0.525807545347167
B.06282	0	0.0097558242536513	0.0	0.289862142393209	0	0.160281750935337	0.540100282417803
B.06421	0	0.0093368049089492	0.0	0.297282214362265	0	0.16420598895984	0.529174991768946
B.10269	0	0.0090599448539375	0.0	0.300899048069779	0	0.157472209234743	0.53256879784154
B.10302	0	0.0133465192005618	0.0	0.307056392389185	0	0.160867893133126	0.518729195277127
B.10991	0	0.0142955451045809	0.0	0.298736119833416	0	0.166299009274146	0.520669325787857
B.15192	0	0.0119432630456446	0.0	0.298771750628622	0	0.162977771978739	0.526307214346994
B.15605	0	0.0132718530697056	0.0	0.294832593211742	0	0.167358673816989	0.524536879901563
B.16200	0	0.0072787815476963	0.0	0.280160048483883	0	0.177216981470865	0.535344188497555
B.16208	0	0.0092505204317478	0.0	0.300075689163885	0	0.161910604310501	0.528763186093866
B.20044	0	0.0116854739714822	0.0	0.298473559567162	0	0.172380900390369	0.517460066070986
B.28151	0	0.0078779038256691	0.0	0.296179408449297	0	0.168642285075331	0.527300402649703
B.28382	0	0.0125790143300427	0.0	0.302558441484807	0	0.168418969926338	0.516443574258812
B.28832	0	0.0113492525651584	0.0	0.288753043467388	0	0.164920602807428	0.534977101160025
B.28930	0	0.0145645333454232	0.0	0.301779005259851	0	0.160132453944183	0.523524007450543
B.30042	0	0.0108119063543756	0.0	0.287771442922715	0	0.175985128150617	0.525431522572293
C.03063	0	0.0121482096104034	0.0	0.309363369562319	0	0.156029593053033	0.522458827774244
C.11112	0	0.0195124543986323	0.0	0.292741513401036	0	0.166013792137955	0.521732240062377
C.12100	0	0.011842304045732	0.0	0.283499540110752	0	0.161523684711548	0.543134471131968
C.12111	0	0.0185906903762649	0.0	0.291209782133756	0	0.163189669685178	0.527009857804801
C.15086	0	0.0146795866995915	0.0	0.284921462650952	0	0.173265914811776	0.52713303583768
C.16010	0	0.0187652535597423	0.0	0.291998534789158	0	0.173685001891925	0.515551209759175
C.16073	0	0.0147680164173171	0.0	0.310289964528803	0	0.15407755264582	0.520864466408061
C.16088	0	0.0182043063112142	0.0	0.298370272073066	0	0.162011004431226	0.521414417184494
C.99134	0	0.0119485016771643	0.0	0.290031761600601	0	0.167095446353235	0.530924290369
E.02945	0	0.0116621291291541	0.0	0.303142159195308	0	0.156330844308683	0.528864867366855
E.02951	0	0.0142153139098743	0.0	0.293881820766202	0	0.162018564339313	0.529884300984611
E.10317	0	0.0102371415348842	0.0	0.274460274001138	0	0.168710215012282	0.546592369451696
E.10608	0	0.0134892607344389	0.0	0.310336254597049	0	0.162834671605369	0.513339813063142
E.11050	0	0.0130785798712091	0.0	0.301447333968354	0	0.161025340100405	0.524448746060031
E.11051	0	0.0089259498043121	0.0	0.297664996903503	0	0.160888094788771	0.532520958503414
E.11053	0	0.0125112457145329	0.0	0.288137611026468	0	0.169038082891731	0.530313060367268
E.19639	0	0.0104916412462845	0.0	0.299053284400505	0	0.162177721290353	0.528277353062858
E.19663	0	0.0234951523994557	0.0	0.2806600365783	0	0.175621317134523	0.520223493887721
E.24635	0	0.0164997378193506	0.0	0.297080134809357	0	0.171279932930029	0.515140194441264
