	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
A-10315	0.057126734	0.25697166	0.14634126	0.03659652	0.14201665	0.09566993	0.26527727
A-11068	0.04461917	0.29616895	0.17432225	0.03393389	0.15041155	0.10946231	0.19108193
A-15235	0.039707825	0.33851862	0.13074106	0.040238712	0.12168983	0.07201456	0.2570894
A-26659	0.03286506	0.35990906	0.16666673	0.03169005	0.14110984	0.13363868	0.1341206
A-26670	0.032842632	0.37670133	0.17261346	0.028480107	0.13232957	0.08322022	0.17381279
A-26693	0.02976914	0.37038675	0.18397255	0.027761752	0.14826201	0.124673404	0.115174405
A-28156	0.030087935	0.37236145	0.18077327	0.025778214	0.12520574	0.18922575	0.07656761
A-28739	0.05331309	0.28090143	0.1680307	0.0372376	0.12709166	0.08072466	0.25270087
A-29008	0.047582995	0.3384359	0.1587209	0.03206474	0.13766716	0.12492546	0.16060288
A-29011	0.031827074	0.36121106	0.1654848	0.030130753	0.15602267	0.11725473	0.13806894
A-29594	0.05205627	0.23697674	0.15322451	0.037312716	0.16364218	0.08128806	0.2754995
A-29845	0.045576718	0.19485633	0.13471629	0.038665723	0.14743657	0.05311187	0.38563648
A-32470	0.05565843	0.19072728	0.1363255	0.034595385	0.14078312	0.041671734	0.4002386
A-32591	0.040145587	0.26030263	0.17085087	0.030660229	0.15216045	0.10287961	0.24300058
B-04585	0.029347954	0.40551198	0.17903571	0.037921835	0.13773777	0.1003991	0.11004564
B-06239	0.042134803	0.36353132	0.15082665	0.031116256	0.13966496	0.09180822	0.18091781
B-06247	0.027312068	0.41711578	0.1816899	0.02422144	0.12861498	0.13883431	0.082211584
B-06260	0.037475597	0.3280804	0.16792445	0.035060927	0.16027981	0.12630184	0.14487699
B-06262	0.032031313	0.3077977	0.16229065	0.030199511	0.1494915	0.2196397	0.09854966
B-06263	0.04613371	0.2839438	0.17302592	0.035024207	0.14906822	0.07965152	0.23315261
B-06266	0.031551015	0.42294002	0.17003708	0.021816647	0.15670455	0.12016935	0.076781355
B-06267	0.027067134	0.37447014	0.16769977	0.022529008	0.14799568	0.16352373	0.096714534
B-06268	0.033236295	0.35459343	0.19215089	0.039035957	0.16746235	0.10570165	0.1078194
B-06270	0.039160773	0.36420813	0.17897516	0.03237565	0.14837255	0.114951275	0.12195641
