	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
A-10315	0.052961063	0.31343225	0.23543239	0.0	0.08229111	0.26589587	0.04998735
A-11068	0.043909322	0.3162923	0.23800766	0.0	0.0923088	0.27822474	0.031257194
A-15235	0.049258642	0.33902654	0.22780779	0.0	0.07546973	0.25887027	0.04956702
A-26659	0.035186224	0.33690324	0.23955469	0.0	0.08321313	0.29310834	0.012034317
A-26670	0.03843067	0.34466913	0.23785333	0.0	0.07674285	0.27497438	0.027329689
A-26693	0.031594265	0.35073972	0.24187969	0.0	0.086000726	0.28457546	0.0052101472
A-28156	0.0299886	0.3379365	0.24511328	0.0	0.08257761	0.30438402	0.0
A-28739	0.05676505	0.31151107	0.24087545	0.0	0.07730598	0.26449385	0.049048673
A-29008	0.041660596	0.33041596	0.23948082	0.0	0.078534156	0.28666258	0.02324585
A-29011	0.03301386	0.34823596	0.23037659	0.0	0.08953217	0.2836687	0.01517264
A-29594	0.0614424	0.2950446	0.23570248	0.0	0.09243681	0.25420582	0.061167847
A-29845	0.071019456	0.2720817	0.22756249	0.00518804	0.095954455	0.23559713	0.092596665
A-32470	0.08006721	0.25884736	0.23009482	0.0051420378	0.09213886	0.22641513	0.10729462
A-32591	0.044110075	0.3114694	0.23835331	0.0	0.09265403	0.27304268	0.040370457
B-04585	0.03338489	0.35262698	0.24542852	0.00113582	0.08043329	0.28438112	0.0026093603
B-06239	0.044588942	0.34554222	0.23432107	0.0	0.07779993	0.26733005	0.030417742
B-06247	0.024619881	0.36054426	0.24105223	0.0	0.07845635	0.2953272	0.0
B-06260	0.035836753	0.33674747	0.23736353	0.0	0.09023065	0.28371498	0.016106607
B-06262	0.026192525	0.33091712	0.23640174	0.0	0.093703136	0.31005055	0.0027349216
B-06263	0.0500085	0.3150879	0.24029832	0.0	0.08737417	0.26635957	0.040871553
B-06266	0.02999875	0.35522553	0.24128957	0.0	0.08883655	0.28464958	0.0
B-06267	0.02900635	0.34014967	0.2402326	0.0	0.087529264	0.30258712	0.0004950142
B-06268	0.03329207	0.34277347	0.24597266	0.0018051874	0.08925774	0.28229988	0.0045989454
B-06270	0.037349366	0.3416675	0.24120449	0.0	0.08320789	0.28659523	0.009975533
B-06271	0.040875748	0.3220121	0.24479379	0.00017839545	0.07800588	0.29336637	0.020767711
B-06277	0.058721334	0.30867147	0.23408014	0.0	0.087174945	0.25596324	0.055388875
B-06281	0.05607508	0.29288664	0.23534624	0.0	0.09815137	0.25748265	0.060058083
B-06282	0.024938274	0.33932716	0.24515949	0.0	0.088648066	0.30179703	0.00012992813
B-06421	0.021635057	0.3483843	0.23287614	0.0	0.08581996	0.30604807	0.005236463
B-10269	0.032831434	0.34666646	0.24820669	0.0	0.07986904	0.28938347	0.0030428974
B-10302	0.056324333	0.30051994	0.24304001	0.0	0.09120329	0.25828028	0.050632123
B-10991	0.056496132	0.30658153	0.2389736	0.0	0.10504015	0.26495078	0.02795782
B-15192	0.044535954	0.32794297	0.2374813	0.0	0.08282675	0.2745656	0.032647397
B-15605	0.037994195	0.33893713	0.24196035	0.0	0.0859901	0.27680898	0.01830926
B-16200	0.046207715	0.31393272	0.2385492	0.0	0.08389861	0.27946824	0.037943427
B-16208	0.03992113	0.3316304	0.23713163	0.0	0.087621756	0.28101653	0.02267859
B-20044	0.04721704	0.30984467	0.23450221	0.00033222904	0.0927465	0.27010536	0.04525197
B-28151	0.028438484	0.35561	0.2391541	0.0	0.08402388	0.29277354	0.0
B-28382	0.04965063	0.30233544	0.24028027	0.005541985	0.09106685	0.2673828	0.043742016
B-28832	0.03914287	0.33408388	0.22976817	0.0	0.08632273	0.27396497	0.0367173
B-28930	0.0567759	0.27674273	0.23872484	0.0028312788	0.09306073	0.2619777	0.06988679
B-30042	0.038932662	0.32819894	0.23727557	0.0	0.091797456	0.28107598	0.02271941
C-03063	0.045850333	0.31923413	0.23035939	0.0	0.09325834	0.26232502	0.04897275
C-11112	0.06643248	0.28268027	0.23148787	0.0026758844	0.08685837	0.24949712	0.080368005
C-12100	0.034299035	0.34462452	0.23597528	0.0	0.09109823	0.27835816	0.015644837
