	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
A-10315	0.0	0.31188592	0.18541516	0.0	0.11208014	0.27626267	0.1143561
A-11068	0.0	0.30827433	0.19042006	0.0	0.12967527	0.31228852	0.059341826
A-15235	0.0	0.37039727	0.1677133	0.0	0.09156609	0.24549522	0.1248281
A-26659	0.0	0.34269843	0.18992609	0.0	0.09878158	0.35262498	0.015968932
A-26670	0.0	0.37307253	0.19056791	0.0	0.092892505	0.2945479	0.048919164
A-26693	0.0	0.376313	0.19673179	0.0	0.10723185	0.3197234	0.0
A-28156	0.0	0.33454755	0.19819434	0.0	0.09635128	0.37090683	0.0
A-28739	0.0	0.322768	0.20547165	0.0	0.10219982	0.2618276	0.10773295
A-29008	0.0	0.34191674	0.19259201	0.0	0.09634252	0.32742116	0.04172755
A-29011	0.0	0.36608535	0.16958103	0.0	0.119774826	0.3214957	0.023063038
A-29594	0.0	0.28003633	0.19523649	0.0	0.14161626	0.24445526	0.13865566
A-29845	0.0	0.23051777	0.18127193	0.0	0.14657159	0.20509297	0.23654574
A-32470	0.0	0.21866226	0.19049768	0.0	0.1435929	0.17819396	0.2690532
A-32591	0.0	0.28913698	0.19376522	0.0	0.12810233	0.3018791	0.08711635
B-04585	0.0	0.38212356	0.1977488	0.0	0.103090465	0.3170372	0.0
B-06239	0.0	0.38265094	0.18354748	0.0	0.10231381	0.27134344	0.0601443
B-06247	0.0	0.39107278	0.18633042	0.0	0.088213705	0.3343831	0.0
B-06260	0.0	0.3557398	0.1847001	0.0	0.12303017	0.32157987	0.014950023
B-06262	0.0	0.30205387	0.17682534	0.0	0.1244079	0.39671287	0.0
B-06263	0.0	0.31584802	0.20215046	0.0	0.12260381	0.26755098	0.091846734
B-06266	0.0	0.38028845	0.192258	0.0	0.11151772	0.31593585	0.0
B-06267	0.0	0.3339254	0.1888118	0.0	0.10993111	0.36733174	0.0
B-06268	0.0	0.36682475	0.20805095	0.0	0.11456499	0.31055933	0.0
B-06270	0.0	0.3694428	0.19717796	0.0	0.10697505	0.3232631	0.0031411515
B-06271	0.0	0.31849778	0.20371468	0.0	0.09509373	0.35110155	0.0315923
B-06277	0.0	0.30617455	0.18770051	0.0	0.12577091	0.25132802	0.12902607
B-06281	0.0	0.26368067	0.19061986	0.0	0.15052462	0.25812954	0.1370453
B-06282	0.0	0.32768944	0.19416326	0.0	0.113048255	0.36509907	0.0
B-06421	0.0	0.3492154	0.16908027	0.0	0.10509819	0.3766062	0.0
B-10269	0.0	0.36643514	0.21089427	0.0	0.09177455	0.3308961	0.0
B-10302	0.0	0.2929637	0.19828534	0.0	0.13331807	0.2597357	0.11569712
B-10991	0.0	0.30199316	0.2001524	0.0	0.17090414	0.2771832	0.04976713
B-15192	0.0	0.33729675	0.19233441	0.0	0.11062417	0.29356867	0.066175975
B-15605	0.0	0.35866603	0.1952659	0.0	0.11253926	0.30706236	0.026466444
B-16200	0.0	0.30820814	0.1925188	0.0	0.1093126	0.3123506	0.07760992
B-16208	0.0	0.3410299	0.1908492	0.0	0.11844405	0.31020033	0.039476547
B-20044	0.0	0.29532537	0.18327965	0.0	0.13511188	0.29141897	0.09486409
B-28151	0.0	0.38181618	0.18310297	0.0	0.0982589	0.33682194	0.0
B-28382	0.0	0.28133303	0.20415062	0.0	0.13017578	0.28679907	0.09754155
B-28832	0.0	0.34253576	0.17267907	0.0	0.11445207	0.29441923	0.07591387
B-28930	0.0	0.2215061	0.19959496	0.0	0.13649361	0.2752875	0.16711785
B-30042	0.0	0.3344911	0.18428867	0.0	0.12633494	0.3103399	0.044545423
C-03063	0.0	0.30603966	0.17449248	0.0	0.13630863	0.26692614	0.116233006
C-11112	0.0	0.24794944	0.18674605	0.0	0.12599094	0.23998909	0.19932446
C-12100	0.0	0.3663054	0.18259856	0.0	0.12678646	0.30438185	0.019927714
C-12111	0.0	0.23435047	0.18136007	0.0	0.13270086	0.22285138	0.22873718
C-15086	0.0	0.24161911	0.1961509	0.0	0.13684157	0.25453264	0.17085572
C-16010	0.0	0.33959562	0.17510013	0.0	0.1189762	0.28937635	0.07695173
C-16073	0.0	0.2717438	0.18551867	0.0	0.122440495	0.2054929	0.21480417
C-16088	0.0	0.33950716	0.17222166	0.0	0.12382767	0.30338126	0.061062206
C-99134	0.0	0.31876615	0.1681497	0.0	0.13891992	0.29314777	0.0810165
E-02945	0.0	0.31095326	0.20720018	0.0	0.11779585	0.31207597	0.051974744
E-02951	0.0	0.19626863	0.20640273	0.0	0.13986078	0.2812687	0.17619917
E-10317	0.0	0.36328313	0.19427353	0.0	0.11812972	0.32431355	0.0
E-10608	0.0	0.27013475	0.19139017	0.0	0.11767467	0.32084322	0.09995713
E-11050	0.0	0.2582749	0.19351664	0.0	0.14813025	0.25852567	0.1415525
E-11051	0.0	0.37715214	0.16557145	0.0	0.12566504	0.33161137	0.0
E-11053	0.0	0.32375118	0.17258902	0.0	0.114120096	0.3073066	0.08223313
E-19639	0.0	0.3991634	0.17652953	0.0	0.1007084	0.3235987	0.0
E-19663	0.0	0.282341	0.17443763	0.0	0.13315699	0.2934884	0.11657589
E-24635	0.0	0.32303897	0.1915687	0.0	0.1373556	0.26267073	0.085366026
F-10242	0.0	0.2631155	0.2059223	0.0	0.13464767	0.30458587	0.09172866
F-15611	0.0	0.326057	0.185387	0.0	0.12177075	0.3667393	4.6023204e-05
F-15621	0.0	0.3160711	0.18005328	0.0	0.11633481	0.37782916	0.009711656
F-15626	0.0	0.32078907	0.18418261	0.0	0.10296926	0.29442105	0.097638026
F-15669	0.0	0.3001339	0.19006029	0.0	0.16417927	0.33349985	0.0121267075
F-16253	0.0	0.3107097	0.17831346	0.0	0.12690932	0.35650274	0.027564738
